COLIGADA,DESC_COLIGADA,MOVIMENTO,N_MOV,FORNECEDOR,DATA_EMISSAO,DATA_ENTRADA,DATA_BAIXA,DATA_VENCIMENTO,CENTRO_CUSTO,DESC_CENTRO_CSTO,VALOR,OBSERVAÇÕES_MOV,VALOR_BRUTO,VALOR_LIQUIDO,VALOR_DOC,VALOR_ORIGINAL,VALOR_BAIXADO,
1,BIOPLUS LTDA,1.2.02,000017268,PATRIMONIO TECNOLOGIA LTDA,21/12/2023,21/12/2023,10/28/24 0:00,12/27/23 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,4314,SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$4.314,00","R$3.832,99","R$4.314,00","R$4.314,00","R$3.832,99","R$0,00"
1,BIOPLUS LTDA,1.2.02,000017315,PATRIMONIO TECNOLOGIA LTDA,21/12/2023,21/12/2023,10/28/24 0:00,12/27/23 0:00,02.01.01.003,CME ACRE,633,CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$633,00","R$603,57","R$633,00","R$633,00","R$603,57",
1,BIOPLUS LTDA,1.2.02,000017406,PATRIMONIO TECNOLOGIA LTDA,09/01/2024,09/01/2024,6/14/24 0:00,1/15/24 0:00,02.01.01.002,CME PALMAS,621,SISTEMA ATIVO,"R$621,00","R$592,12","R$621,00","R$621,00","R$592,12",
1,BIOPLUS LTDA,1.2.02,000017515,PATRIMONIO TECNOLOGIA LTDA,05/01/2024,05/01/2024,,1/12/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,4314,SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$4.314,00","R$3.832,99","R$4.314,00","R$4.314,00","R$0,00","-R$3.832,99"
1,BIOPLUS LTDA,1.2.02,000017641,PATRIMONIO TECNOLOGIA LTDA,04/01/2024,04/01/2024,1/12/24 0:00,1/12/24 0:00,02.01.01.002,CME PALMAS,621,SISTEMA ATIVO,"R$621,00","R$592,12","R$621,00","R$621,00","R$596,06",
1,BIOPLUS LTDA,1.2.02,000017684,PATRIMONIO TECNOLOGIA LTDA,04/01/2024,04/01/2024,1/12/24 0:00,1/12/24 0:00,02.01.01.003,CME ACRE,633,CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$633,00","R$603,57","R$633,00","R$633,00","R$607,59",
1,BIOPLUS LTDA,1.2.02,000017933,PATRIMONIO TECNOLOGIA LTDA,06/02/2024,06/02/2024,2/15/24 0:00,2/15/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,2000,SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.000,00","R$1.777,00","R$2.000,00","R$2.000,00","R$1.806,60","R$29,60"
1,BIOPLUS LTDA,1.2.02,000017948,PATRIMONIO TECNOLOGIA LTDA,06/02/2024,06/02/2024,2/15/24 0:00,2/15/24 0:00,02.01.01.002,CME PALMAS,"310,5",SISTEMA ATIVO,"R$310,50","R$296,05","R$310,50","R$310,50","R$301,00",
1,BIOPLUS LTDA,1.2.02,000017956,PATRIMONIO TECNOLOGIA LTDA,06/02/2024,06/02/2024,2/15/24 0:00,2/15/24 0:00,02.01.01.003,CME ACRE,"316,5",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$316,50","R$301,77","R$316,50","R$316,50","R$306,82",
1,BIOPLUS LTDA,1.2.02,000018171,PATRIMONIO TECNOLOGIA LTDA,13/03/2024,13/03/2024,3/18/24 0:00,3/11/24 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$315,21",
1,BIOPLUS LTDA,1.2.02,000018182,PATRIMONIO TECNOLOGIA LTDA,06/03/2024,06/03/2024,3/11/24 0:00,3/11/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.842,93","R$0,00"
1,BIOPLUS LTDA,1.2.02,000018195,PATRIMONIO TECNOLOGIA LTDA,13/03/2024,13/03/2024,3/18/24 0:00,3/19/24 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$321,30",
1,BIOPLUS LTDA,1.2.02,000018422,PATRIMONIO TECNOLOGIA LTDA,08/04/2024,08/04/2024,4/11/24 0:00,4/10/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.849,07","R$6,14"
1,BIOPLUS LTDA,1.2.02,000018449,PATRIMONIO TECNOLOGIA LTDA,05/04/2024,05/04/2024,4/10/24 0:00,4/10/24 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$307,05",
